Resume_Text,ATS_Status
"Java developer with Spring Boot, REST APIs, SQL, Git, and microservices experience. Worked on enterprise applications.",ATS-Friendly
"Python developer skilled in machine learning, pandas, NumPy, scikit-learn, and NLP projects.",ATS-Friendly
"Software engineer with experience in React, Node.js, MongoDB, REST APIs, and GitHub.",ATS-Friendly
"Data analyst with SQL, Power BI, Excel dashboards, and data visualization experience.",ATS-Friendly
"Backend developer with Java, Hibernate, Spring MVC, MySQL, and API development.",ATS-Friendly
"Full stack developer with MERN stack, authentication, pagination, and deployment experience.",ATS-Friendly
"Machine learning engineer with supervised learning, feature engineering, and model evaluation.",ATS-Friendly
"Cloud engineer with AWS EC2, S3, IAM, CI/CD pipelines, and Docker.",ATS-Friendly
"DevOps engineer experienced in Jenkins, Docker, Kubernetes, Git, and AWS.",ATS-Friendly
"Frontend developer skilled in HTML, CSS, JavaScript, React, and responsive design.",ATS-Friendly
"Software tester with Selenium, automation testing, test cases, and defect tracking.",ATS-Friendly
"Android developer with Kotlin, Java, REST APIs, Firebase, and Play Store deployment.",ATS-Friendly
"Python backend developer with Flask, Django, REST APIs, and PostgreSQL.",ATS-Friendly
"Cybersecurity analyst with network security, vulnerability assessment, and SIEM tools.",ATS-Friendly
"AI engineer with deep learning, neural networks, TensorFlow, and PyTorch.",ATS-Friendly
"Business analyst with requirement gathering, UML diagrams, SQL queries, and reporting.",ATS-Friendly
"System administrator with Linux, shell scripting, server monitoring, and backups.",ATS-Friendly
"Data scientist with Python, ML algorithms, feature selection, and model tuning.",ATS-Friendly
"QA engineer with manual testing, regression testing, and Agile methodology.",ATS-Friendly
"Web developer with PHP, MySQL, JavaScript, and web application development.",ATS-Friendly
"Embedded systems engineer with C, microcontrollers, IoT protocols, and firmware development.",ATS-Friendly
"Game developer with Unity, C#, game physics, and performance optimization.",ATS-Friendly
"Blockchain developer with smart contracts, Solidity, Ethereum, and Web3.",ATS-Friendly
"UI/UX designer with Figma, wireframes, prototypes, and usability testing.",ATS-Friendly
"Technical support engineer with troubleshooting, system diagnostics, and ticket handling.",ATS-Friendly

"Looking for a job opportunity as a fresher with good communication skills.",Not ATS-Friendly
"Hardworking individual eager to learn and grow in the IT industry.",Not ATS-Friendly
"Seeking a challenging role where I can enhance my skills.",Not ATS-Friendly
"Recent graduate passionate about technology and teamwork.",Not ATS-Friendly
"Motivated fresher with positive attitude and adaptability.",Not ATS-Friendly
"Interested in starting my career in a reputed organization.",Not ATS-Friendly
"Good listener with strong interpersonal skills.",Not ATS-Friendly
"Self-motivated candidate with willingness to work hard.",Not ATS-Friendly
"Dedicated person looking for entry-level job.",Not ATS-Friendly
"Quick learner with interest in software field.",Not ATS-Friendly
"Enthusiastic graduate seeking growth opportunities.",Not ATS-Friendly
"Ability to work independently and in a team environment.",Not ATS-Friendly
"Committed individual ready to accept new challenges.",Not ATS-Friendly
"Strong desire to succeed in professional career.",Not ATS-Friendly
"Basic knowledge of computers and internet usage.",Not ATS-Friendly
"Looking forward to learning new technologies.",Not ATS-Friendly
"Good communication and presentation skills.",Not ATS-Friendly
"Hardworking fresher searching for job opportunity.",Not ATS-Friendly
"Interested in IT jobs and software development.",Not ATS-Friendly
"Positive mindset with passion for learning.",Not ATS-Friendly
"Adaptable individual with good attitude.",Not ATS-Friendly
"Motivated and energetic candidate.",Not ATS-Friendly
"Seeking suitable position to start career.",Not ATS-Friendly
"Basic programming knowledge and interest.",Not ATS-Friendly
"Open to any role and willing to work hard.",Not ATS-Friendly
